country,href,name
Africa,/regions/248/tournaments/290/africa-caf-champions-league,CAF Champions League
Africa,/regions/248/tournaments/573/africa-caf-super-cup,CAF Super Cup
Africa,/regions/248/tournaments/747/africa-africa-cup-of-nations-qualification,Africa Cup of Nations Qualification
Africa,/regions/248/tournaments/754/africa-african-nations-championship-qualification,African Nations Championship Qualification
Africa,/regions/248/tournaments/762/africa-caf-champions-league-qualification,CAF Champions League Qualification
Africa,/regions/248/tournaments/574/africa-caf-confederations-cup,CAF Confederations Cup
Africa,/regions/248/tournaments/505/africa-cecafa-senior-challenge-cup,CECAFA Senior Challenge Cup
Asia,/regions/249/tournaments/241/asia-gulf-cup,Gulf Cup
Asia,/regions/249/tournaments/212/asia-east-asian-championship,East Asian Championship
Asia,/regions/249/tournaments/490/asia-aff-championship,AFF Championship
Asia,/regions/249/tournaments/287/asia-afc-champions-league,AFC Champions League
Asia,/regions/249/tournaments/575/asia-afc-cup,AFC Cup
Asia,/regions/249/tournaments/763/asia-afc-champions-league-elite-qualification,AFC Champions League Elite Qualification
Asia,/regions/249/tournaments/644/asia-afc-u23-asian-cup,AFC U23 Asian Cup
Asia,/regions/249/tournaments/753/asia-asean-championship-qualification,ASEAN Championship Qualification
Asia,/regions/249/tournaments/748/asia-asian-cup-qualification,Asian Cup Qualification
Asia,/regions/249/tournaments/635/asia-premier-league-asia-trophy,Premier League Asia Trophy
Europe,/regions/250/tournaments/12/europe-champions-league,Champions League
Europe,/regions/250/tournaments/30/europe-europa-league,Europa League
Europe,/regions/250/tournaments/751/europe-european-championship-qualification,European Championship Qualification
Europe,/regions/250/tournaments/62/europe-uefa-super-cup,UEFA Super Cup
Europe,/regions/250/tournaments/715/europe-conference-league,Conference League
Europe,/regions/250/tournaments/741/europe-women-s-champions-league,Women's Champions League
Europe,/regions/250/tournaments/757/europe-champions-league-qualification,Champions League Qualification
Europe,/regions/250/tournaments/759/europe-europa-league-qualification,Europa League Qualification
Europe,/regions/250/tournaments/760/europe-conference-league-qualification,Conference League Qualification
Europe,/regions/250/tournaments/680/europe-uefa-youth-league,UEFA Youth League
Europe,/regions/250/tournaments/613/europe-the-atlantic-cup,The Atlantic Cup
International,/regions/247/tournaments/124/international-european-championship,European Championship
International,/regions/247/tournaments/94/international-copa-america,Copa America
International,/regions/247/tournaments/36/international-fifa-world-cup,FIFA World Cup
International,/regions/247/tournaments/104/international-africa-cup-of-nations,Africa Cup of Nations
International,/regions/247/tournaments/738/international-fifa-women-s-world-cup,FIFA Women's World Cup
International,/regions/247/tournaments/683/international-uefa-nations-league-a,UEFA Nations League A
International,/regions/247/tournaments/684/international-uefa-nations-league-b,UEFA Nations League B
International,/regions/247/tournaments/685/international-uefa-nations-league-c,UEFA Nations League C
International,/regions/247/tournaments/686/international-uefa-nations-league-d,UEFA Nations League D
International,/regions/247/tournaments/721/international-world-cup-qualification-uefa,World Cup Qualification UEFA
International,/regions/247/tournaments/719/international-world-cup-qualification-conmebol,World Cup Qualification CONMEBOL
International,/regions/247/tournaments/716/international-world-cup-qualification-caf,World Cup Qualification CAF
International,/regions/247/tournaments/717/international-world-cup-qualification-concacaf,World Cup Qualification CONCACAF
International,/regions/247/tournaments/718/international-world-cup-qualification-afc,World Cup Qualification AFC
International,/regions/247/tournaments/166/international-asian-cup,Asian Cup
International,/regions/247/tournaments/123/international-euro-u-21,EURO U-21
International,/regions/247/tournaments/67/international-fifa-club-world-cup,FIFA Club World Cup
International,/regions/247/tournaments/768/international-uefa-nations-league-a-qualification,UEFA Nations League A Qualification
International,/regions/247/tournaments/769/international-uefa-nations-league-b-qualification,UEFA Nations League B Qualification
International,/regions/247/tournaments/165/international-euro-u-19,EURO U-19
International,/regions/247/tournaments/27/international-int-friendly,Int. Friendly
International,/regions/247/tournaments/177/international-summer-olympics,Summer Olympics
International,/regions/247/tournaments/203/international-toulon-tournament,Toulon Tournament
International,/regions/247/tournaments/144/international-world-championship-u-20,World Championship U-20
International,/regions/247/tournaments/563/international-african-nations-championship,African Nations Championship
International,/regions/247/tournaments/689/international-concacaf-nations-league,CONCACAF Nations League
International,/regions/247/tournaments/57/international-club-friendlies,Club Friendlies
International,/regions/247/tournaments/89/international-confederations-cup,Confederations Cup
International,/regions/247/tournaments/656/international-africa-cup-of-nations-u20,Africa Cup of Nations U20
International,/regions/247/tournaments/201/international-euro-u-17,EURO U-17
International,/regions/247/tournaments/244/international-friendly-u-21,Friendly U-21
International,/regions/247/tournaments/219/international-world-championship-u-17,World Championship U-17
International,/regions/247/tournaments/736/international-euro-u21-qualification,EURO U21 Qualification
International,/regions/247/tournaments/690/international-ofc-u19-championship,OFC U19 Championship
North & Central America,/regions/264/tournaments/131/north-central-america-concacaf-gold-cup,CONCACAF Gold Cup
North & Central America,/regions/264/tournaments/222/north-central-america-concacaf-champions-cup,CONCACAF Champions Cup
North & Central America,/regions/264/tournaments/740/north-central-america-leagues-cup,Leagues Cup
North & Central America,/regions/264/tournaments/668/north-central-america-concacaf-league,CONCACAF League
North & Central America,/regions/264/tournaments/752/north-central-america-concacaf-gold-cup-qualification,CONCACAF Gold Cup Qualification
North & Central America,/regions/264/tournaments/756/north-central-america-concacaf-nations-league-qualification,CONCACAF Nations League Qualification
North & Central America,/regions/264/tournaments/462/north-central-america-cfu-club-champions-cup,CFU Club Champions Cup
North & Central America,/regions/264/tournaments/655/north-central-america-concacaf-championship-u20,CONCACAF Championship U20
South America,/regions/265/tournaments/105/south-america-copa-libertadores,Copa Libertadores
South America,/regions/265/tournaments/146/south-america-copa-sudamericana,Copa Sudamericana
South America,/regions/265/tournaments/271/south-america-recopa-sudamericana,Recopa Sudamericana
South America,/regions/265/tournaments/761/south-america-copa-libertadores-qualification,Copa Libertadores Qualification
South America,/regions/265/tournaments/764/south-america-copa-sudamericana-qualification,Copa Sudamericana Qualification
Albania,/regions/3/tournaments/182/albania-kategoria-superiore,Kategoria Superiore
